review_id,target_type,target_id,review_decision,field_name,initial_value_json,reconciled_value_json,reviewer_id,reviewed_at_utc,reviewer_notes,evidence_urls
review-impact-2025-aut-22,impact_assessment,impact-2025-aut-22,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:36:08+00:00,"Impact approved as not mechanically estimable. Retain the confirmed ten-second stationary hold and observed P15-to-P16 stop sequence, but do not attribute the position change solely to the penalty because an ordinary stop likely also lost the place and the no-penalty strategy could have omitted the stop.",https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf
review-impact-2025-aut-12,impact_assessment,impact-2025-aut-12,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:52:05+00:00,"Impact approved as not estimable for Austrian finish or points. Implement a separately sourced cross-event sanction record for Silverstone: Antonelli qualified P7 and started P10, an exact three-place grid effect; the wet-race finish and points effect remains not estimable because of strategy, neutralizations, a separate collision, and retirement.",https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf
review-harm-2019-aut-r69-16,harm_assessment,harm-2019-aut-r69-16,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T20:00:45+00:00,"Harm assessment approved as coded. The P1-to-P2 change and 1.683-second relative swing are observed competitive effects of the complete battle and pass, not collision-damage estimates. No repair stop or confirmed lasting damage was identified; one clean post-incident lap is insufficient for persistent-pace inference.",https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2033%20(Turn%203%20incident%20with%20car%2016).pdf;https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Final%20Race%20Classification.pdf
review-harm-2019-aut-r69-33,harm_assessment,harm-2019-aut-r69-33,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T20:02:35+00:00,"Mirrored outcome assessment approved as coded. Verstappen's P2-to-P1 change and 1.683-second relative gain describe the completed battle and pass, not a causal benefit from contact. The shared incident ID preserves both driver perspectives while preventing the pair from being counted as two independent incidents.",https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2016%20(Incident%20with%20car%2033%20in%20turn%203).pdf;https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Final%20Race%20Classification.pdf
review-harm-2023-abu-r15-10,harm_assessment,harm-2023-abu-r15-10,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. Direct reporting supports diffuser damage and continuing downforce loss while the earlier Perez contact prevents an isolated Hamilton-only numeric counterfactual.,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Decision%20-%20Car%2044%20-%20Alleged%20causing%20a%20collision.pdf;https://www.formula1.com/en/latest/article/gasly-says-damage-with-hamilton-and-perez-finished-me-after-p13-result-at.4oooNkg91ON0oLVrNxcJSs
review-harm-2023-abu-r47-4,harm_assessment,harm-2023-abu-r47-4,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The explicit timing and position windows preserve observed changes without treating them as a no-contact finishing counterfactual.,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf;https://www.formula1.com/en/latest/article/verstappen-beats-leclerc-to-victory-in-abu-dhabi-to-end-record-breaking-year.6pYEohQvxeey5ATWkXh8sQ
review-harm-2025-aut-r31-43,harm_assessment,harm-2025-aut-r31-43,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. Reported time loss and possible damage remain separate from unsupported numeric loss and Tsunoda's repair stop is not used as a clean comparator.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf;https://media.alpinecars.com/2025-formula-one-austrian-grand-prix-sunday/?lang=eng
review-harm-2025-aut-r4-87,harm_assessment,harm-2025-aut-r4-87,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The neutral record retains a lawful no-fault event in the denominator with no inferred damage or repair consequence.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_43_-_alleged_forcing_another_driver_off_of_the_track.pdf
review-harm-2025-aut-r54-81,harm_assessment,harm-2025-aut-r54-81,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The forced excursion is established but pit timing and other race dynamics prevent an isolated time loss or changed-winner claim.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf;https://www.formula1.com/en/latest/article/austria-lowdown-all-the-key-moments-as-the-mclarens-duel-red-bull-suffer-and.7DG4DaK04hYZKL97D6xjr9
review-harm-2025-aut-r1-1,harm_assessment,harm-2025-aut-r1-1,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The retirement and zero points are observed while race-finish and championship alternatives remain unestimated.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf;https://www.formula1.com/en/latest/article/no-one-does-that-on-purpose-verstappen-gives-verdict-on-unlucky-race-ending.1WQnU9ao4YlVIuvewwaSOg
review-harm-2025-aut-r15-18,harm_assessment,harm-2025-aut-r15-18,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The observed position and time changes describe a lawful pass and remain excluded from harm-sanction proportionality.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_22_-_alleged_forcing_car_18_off_track.pdf
review-location-2025-aut-r54-t3-t4,incident_location,location-2025-aut-r54-t3-t4,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The official between-Turns wording is preserved without inventing a single-turn value.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf
review-relation-2025-aut-r54-22-43,incident_relation,relation-2025-aut-r54-22-43,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. Car 22 is recorded only as visibility-obstruction context and receives no transferred fault.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf
review-relation-2025-aut-r54-43-81,incident_relation,relation-2025-aut-r54-43-81,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. Primary fault remains confined to the directed Car 43 to Car 81 forced-off-track edge.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf
review-cross-event-2025-aut-gbr-12,cross_event_sanction_effect,cross-event-2025-aut-gbr-12,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T23:01:23+00:00,Approved as coded. The P7-to-P10 grid effect is mechanical while the wet-race retirement prevents a finish or points counterfactual.,https://www.fia.com/system/files/decision-document/2025_british_grand_prix_-_provisional_starting_grid.pdf;https://www.fia.com/system/files/decision-document/2025_british_grand_prix_-_final_race_classification.pdf
