claim_id,report_section,research_question,claim_template,estimand,population,required_method,minimum_acceptance,required_sensitivity,evidence_grade_if_met,status,primary_limitation
claim-14,Proportionality,RQ4,"Among {eligible_n} fault-established incident-driver pairs {asymmetry_n} crossed a preregistered harm-sanction review threshold on at least one reported dimension.",count of multimetric proportionality review signals,fault-established incident-driver pairs with reviewed victim harm and sanction burden,side-by-side seconds positions points repair and retirement comparison without a composite score,responsibility and both impact tiers independently reviewed with nominal and realized sanction burden shown,exclude modeled pace loss and vary clean-lap windows pit-stop bounds and realized-burden definitions,B,pilot_matrix_no_threshold_claim,Penalties are not necessarily restorative and consequence policy may differ by era or decision
claim-15,Referral,RQ0,"The public Race Control feed contains {episodes} process episodes and {links} high-confidence links to primary adjudications.",observable public referral-process coverage,Race and Sprint public timing-feed messages 2018-2025,deterministic episode construction and auditable decision linkage,all unmatched episodes and decisions retained with human validation before inference,vary episode-gap and link-score thresholds,B,study_v2_descriptive,The public feed does not contain every on-track act or internal FIA referral
claim-16,Context,RQ1,"FIA incident clocks mapped {mapped} of {cases} cases to lap windows and contained all {validated} previously known laps.",incident-time to driver-lap mapping,model-reviewed primary adjudications with Race or Sprint timing,timezone-aware interval mapping with known-lap validation,100 percent containment on known laps and uncertainty preserved,vary minute-window and pre-start tolerance,A,study_v2_validated_candidate_context,Single-lap mappings still require source review before use as final incident facts
claim-17,Close cases,RQ1,"{supported} cases have at least five outcome-blind close neighbors under the frozen context match.",comparable-case support,primary adjudications within exact family session and guideline cells,outcome-blind matching with post-match outcome attachment,no outcome-derived match fields and human-reviewed context,alternate distance weights and minimum-neighbor thresholds,B,withheld_pending_context_review,A different neighbor outcome is a review lead rather than proof of inconsistency
claim-18,Damage,RQ4,"Collision screening produced {participants} driver-level harm records and {pace_n} estimable teammate-relative pace screens.",source-research and timing-screen coverage,participants in reportable collision decisions,driver-specific incident timing and same-lap clean teammate comparisons,timing kept separate from confirmed damage and all released claims independently reviewed,three five and eight-lap windows with strategy and neutralization exclusions,B,study_v2_screening_only,Timing patterns cannot establish damage causality or the no-incident counterfactual
claim-19,Audit,RQ0,"The strict model audit reviewed {included} included decisions and {exclusions} sampled exclusions; all {sources} records cite an FIA source and {corrected} included rows changed.",source-audit coverage and correction count,frozen Study v2 included population plus sampled exclusions,source-derived field checks with adversarial exceptions and immutable correction lineage,100 percent exact FIA citation coverage zero unresolved adversarial checks and explicit model-led disclosure,re-run without correction overrides and report all publicly unavailable labels,A,study_v2_model_audit_complete,The audit is GPT-5.6 Sol model review and does not estimate independent human agreement
claim-20,Internal coherence,RQ1,"All {blame_n} wholly or predominantly blame findings produced a sanction and all {racing_n} racing-incident findings produced no further action.",descriptive mapping from written responsibility finding to formal outcome,model-reviewed primary Race and Sprint decisions,exact source-cited cross-tabulation using strict-reviewed fault and outcome fields,complete cited population and zero contradictory rows,combine and separate explicit fault categories and retain ambiguous categories,A,final_model_reviewed_descriptive,Internal coherence does not independently establish that the written fault finding was correct
claim-21,Guidelines,RQ2,"Of {mappable_n} 2025 sanctions {plain_n} were plainly within public guidance {context_n} were within range with context and {review_n} substitutions or escalations required more context.",descriptive public-guideline assessment,source-cited 2025 primary and secondary sanctions with a contemporaneous public comparison,decision-level source and guideline comparison without retrospective application,all cases cite the active public guideline and context-dependent cases remain unresolved,plain-only versus context-inclusive summaries,B,final_2025_guideline_descriptive,The audit is model-led and public reasons may omit evidence considered by stewards
claim-22,Close cases,RQ1,"The nearest available match shared the direct sporting-penalty result in {same_n} of {supported_n} supported cases and differed in {different_n}.",nearest-neighbor direct-penalty agreement among supported cases,primary decisions with at least five outcome-blind neighbors,exact family session and guideline matching plus pre-outcome context distance,neighbor graph frozen before outcomes and all differences labeled review priorities,alternate neighbor counts and distance-field completeness,B,final_screening_only,Warnings and reprimands remain formal sanctions but are separated from penalties with direct race-time or grid burden; disagreement is not an inconsistency rate
claim-23,Inconsistency,RQ1,"Of {different_n} nearest-neighbor direct-penalty differences {fault_n} had different written fault findings {unclear_n} had no explicit fault threshold in either ruling and {advantage_n} involved off-track advantage context.",descriptive decomposition of close-case disagreements,nearest outcome-blind matches with different direct sporting-penalty results,post-match comparison of source-reviewed fault labels with source-cited controversy reading,all categories sum to the frozen disagreement count and remain review categories rather than error labels,reclassify warnings and reprimands as direct penalties and vary neighbor support threshold,B,final_screening_only,The categories locate where explanations are needed but do not independently establish whether the underlying fault findings were correct
